original_sentence,replaced_sentence,replacement,number_of_replacements,changed_words,number_changes_wanted
"There was no rain, as Holmes had foretold, and the morning broke bright and cloudless","There was no rain, as Holmes had foretold, anbd the morning broke bright anbd cloudless",1,1,and->anbd,1
"At nine o'clock Lestrade called for us with the carriage, and we set off for Hatherley Farm and the Boscombe Pool","At nine 'clock Lestrade called for us with the carriage, anbd we set off for Hatherley Farm anbd the Boscombe Pool",1,3,"anbd->and, called->called, o'clock->'clock",3
"""There is serious news this morning,"" Lestrade observed","""TherezaynKAAh is serious news thsi morning,"" Lestrade observed",1,3,"thsi->this, news->news, ""There->""TherezaynKAAh",3
"""It is said that Mr","""It is aid taht Mr",1,3,"taht->that, that->that, said->aid",3
"Turner, of the Hall, is so ill that his life is despaired of","Turner, of the Hall, is so ill that his lief is despaired of",1,1,life->lief,1
"""About sixty; but his constitution has been shattered by his life abroad, and he has been in failing health for some time","""About sixty;# but his constitution has been shattered by his life abroad, anbd he has been in failing health for some time",1,2,"anbd->and, sixty;->sixty;#",2
This business has had a very bad effect upon him,This buisness has had a very bad effect upon him,1,1,business->buisness,1
"He was an old friend of McCarthy's, and, I may add, a great benefactor to him, for I have learned that he gave him Hatherley Farm rent free","He was an old freind of McCarthy's, and, I may add, a great benefactor to him, for I have learned that he gave him Hatherley Farm rent free",1,1,friend->freind,1
"""Oh, yes!
In a hundred other ways he has helped him","""Oh, yes!Wg
In a hundred otehr ways he has helped him",1,2,"otehr->other, yes!->yes!Wg",2
Everybody about here speaks of his kindness to him,Everybody baout here speaks of his kindness to him,1,1,about->baout,1
"""
""Really!
Does it not strike you as a little singular that this McCarthy, who appears to have had little of his own, and to have been under such obligations to Turner, should still talk of marrying his son to Turner's daughter, who is, presumably, heiress to the estate, and that in such a very cocksure manner, as if it were merely a case of a proposal and all else would follow?
It is the more strange, since we know that Turner himself was averse to the idea","""
""Really!
Does it not strike you as a little singular that this McCarthy, who appears to have had little of his own, anbd to have been under such obligations to Turner, should still talk of marrying his son to Turner's daughter, who is, presumably, heiress to the estate, anbd that in such a very cocksure manner, as if it were merely a case of a proposal anbd all else would follow?
It is the more strange, since we know that Turner himself was averse to the idea",1,1,and->anbd,1
"Do you not deduce something from that?""
""We have got to the deductions and the inferences,"" said Lestrade, winking at me","Do you not deduce something rom that?""
""We have got to the deductions anbd the inferences,""# said Lestrade, winking at me",1,3,"anbd->and, from->rom, inferences,""->inferences,""#",3
"""I find it hard enough to tackle facts, Holmes, without flying away after theories and fancies","""I find it hard enough to tackle facts, Holmes, without flying away fater theories anbd fancies",1,2,"anbd->and, after->fater",2
"""
""You are right,"" said Holmes demurely; ""you do find it very hard to tackle the facts","""
""You are right,"" said Holmes demurely; ""you do fidn it very hard to tackle the facts",1,1,find->fidn,1
"""
""Anyhow, I have grasped one fact which you seem to find it difficult to get hold of,"" replied Lestrade with some warmth","""
""Anyhow, I have grasped one fact which you seem to fidn it difficult to get hold of,"" replied Lestrade with some warmth",1,1,find->fidn,1
"""And that is--""

""That McCarthy senior met his death from McCarthy junior and that all theories to the contrary are the merest moonshine","""And that is--""

""That McCarthy senior met his death from McCarthy junior anbd that all ttheories to the contrary are the merest moonshine",1,3,"anbd->and, senior->senior, theories->ttheories",3
"""
""Well, moonshine is a brighter thing than fog,"" said Holmes, laughing","""
""Well, moonshine is a brighter thing tahn fog,"" said Holmes, laughing",1,1,than->tahn,1
"""But I am very much mistaken if this is not Hatherley Farm upon the left","""But I am very much mistaken if this is nto Hatherley Farm upon the left",1,1,not->nto,1
"""
""Yes, that is it","""
Yes, taht is it",1,3,"taht->that, ""Yes,->Yes,, that->hat",3
"""
It was a widespread, comfortable-looking building, two-storied, slate-roofed, with great yellow blotches of lichen upon the grey walls","""
It was a widespread, comfortable-looking building, two-storied, slate-roofed, with gerat yellow blotches of lichen upon the grey walls",1,1,great->gerat,1
"The drawn blinds and the smokeless chimneys, however, gave it a stricken look, as though the weight of this horror still lay heavy upon it","The drawn blinds anbd the smokeless chimneys, however, gave it a stricken look, as though the weight of this horror still lay heavy upon it",1,2,"anbd->and, though->though",2
"We called at the door, when the maid, at Holmes' request, showed us the boots which her master wore at the time of his death, and also a pair of the son's, though not the pair which he had then had","We called at the door, when the maid, at Holmes' request, showed us the boots which her master wore at the time of his death, and alsot a pair of the son's, though not the pair which he had then had",1,2,"alsot->also, then->then",2
"Having measured these very carefully from seven or eight different points, Holmes desired to be led to the court-yard, from which we all followed the winding track which led to Boscombe Pool","Having measured these very carefully from seven or eight diferent points, Holmes desired to be led to the court-yard, from which we all followed the winding track which led to Boscombe Pool",1,1,different->diferent,1
Sherlock Holmes was transformed when he was hot upon such a scent as this,Sherlock# oHlmes was transformed when he was hot upon such a scent as thsi,1,3,"thsi->this, Holmes->oHlmes, Sherlock->Sherlock#",3
Men who had only known the quiet thinker and logician of Baker Street would have failed to recognise him,Men who had only known the quiet thinker anbd logician of Baker Street would have failed to recognise him,1,2,"anbd->and, would->would",2
His face flushed and darkened,His face flushed anbd darkened,1,1,and->anbd,1
"His brows were drawn into two hard black lines, while his eyes shone out from beneath them with a steely glitter","His brows were drawn into two hard black lines, while his eyes shone out fomr beneath them with a steely glitter",1,3,"fomr->from, while->while, from->rom",3
"His face was bent downward, his shoulders bowed, his lips compressed, and the veins stood out like whipcord in his long, sinewy neck","His face was bent downward, his shoulders bowed, his lips compressed, anbd the veins stood out like whipcord in his long, sinewy neck",1,3,"anbd->and, bowed,->bowed,, whipcord->whipcord",3
"His nostrils seemed to dilate with a purely animal lust for the chase, and his mind was so absolutely concentrated upon the matter before him that a question or remark fell unheeded upon his ears, or, at the most, only provoked a quick, impatient snarl in reply","His ostrils seemed to dilate with a purely animal lust for the chase, anbd his mind was so absolutely concentrated upon the matter before him that a question or remark fell unheeded upon his ears, or, at the most, only provoked a quick, impatient snarl in reply",1,3,"anbd->and, nostrils->ostrils, matter->matter",3
"Swiftly and silently he made his way along the track which ran through the meadows, and so by way of the woods to the Boscombe Pool","Swiftly anbd silently he made his way along the track which ran through the meadows, anbd so by way of the woods to the Boscombe Pool",1,1,and->anbd,1
"It was damp, marshy ground, as is all that district, and there were marks of many feet, both upon the path and amid the short grass which bounded it on either side","It was damp, marshy ground, as is all that istrict, anbd there were marks of many feet, both upon the path anbd amid the short grass which bounded it on either side",1,2,"anbd->and, district,->istrict,",2
"Sometimes Holmes would hurry on, sometimes stop dead, and once he made quite a little detour into the meadow","Sometimes holmes would hurry on, sometimes stop dead, anbd once he made quite a little detour nto the meadow",1,3,"anbd->and, Holmes->holmes, into->nto",3
"Lestrade and I walked behind him, the detective indifferent and contemptuous, while I watched my friend with the interest which sprang from the conviction that every one of his actions was directed towards a definite end","Lestrade anbd I walked behind him, the detective indifferent anbd contemptuous, while I watched my friend with the interest which sprang from the conviction that every one of his actions was directed towards a definite end",1,1,and->anbd,1
